Covidence #,Study ID,Title,Reviewer Name,DOI,Trial Registry Number,Parent study DOI,Trial Phase,N randomized,N analyzed (if applicable),Target Population,Sex-specific population?,Psychedelic/Intervention Drug(s),Co-administration/Pre-treatment Drug(s),Comparator Drug,Cognitive,Drug experience questionnaires,Molecular,Neuroimaging,Physiological/Autonomic,PK/PD,Psychiatric,Functioning and well-being,Psychological process,Safety & tolerability,Sensorimotor & perception,Somatic health,Therapy process,Trial integrity,Other outcomes,What is the qualitative outcome?,Notes
30059,Aicher 2023,"Potential therapeutic effects of an ayahuasca-inspired N,N-DMT and harmine formulation: a controlled trial in healthy subjects.",Parker Singleton,10.3389/fpsyt.2023.1302559,"","",Unregistered,37,31,healthy volunteers,male,DMT,Harmine,"placebo (niacin, mannitol, sugar pill, etc.); Other: harmine","",Acute; Persisting (PEQ; not HPPD),"","","","",general psychopathology,quality of life/well-being,"connectedness (others, self, nature, etc); insight; personality/neuroticism; psychological flexibility; Other: acceptance","","","","","",qualitative (describe),dairy reports,""
30059,Aicher 2023,"Potential therapeutic effects of an ayahuasca-inspired N,N-DMT and harmine formulation: a controlled trial in healthy subjects.",Analiese Lahey,10.3389/fpsyt.2023.1302559,NCT04716335,"",1,"",31,healthy volunteers,male,DMT,Harmine,"placebo (niacin, mannitol, sugar pill, etc.)","",Acute; Persisting (PEQ; not HPPD),"","","","",general psychopathology,quality of life/well-being,"connectedness (others, self, nature, etc); emotional processing; insight; personality/neuroticism; psychological flexibility; Other: Challenging experiences + subjective significance","","","","","",qualitative (describe),diary reports,""
30036,Aicher 2025,"Enhancing mindfulness and compassion through an ayahuasca-inspired formulation containing N,N-DMT and harmine: A randomized controlled trial in healthy subjects.",Analiese Lahey, 10.1177/02698811251344689,NCT04716335,"",1,"",31,healthy volunteers,"",DMT,Harmine,"placebo (niacin, mannitol, sugar pill, etc.)","","","","","","","",mindfulness,"compassion (others, self)","","","","","","","",""
30036,Aicher 2025,"Enhancing mindfulness and compassion through an ayahuasca-inspired formulation containing N,N-DMT and harmine: A randomized controlled trial in healthy subjects.",Madison Baltazar, 10.1177/02698811251344689,NCT04716335,"",1,31,"",healthy volunteers,"",DMT; Other: harmine,"","placebo (niacin, mannitol, sugar pill, etc.)","","","","","","","","","","","","","","","","",""
29659,Dolder 2018,Independent elevation of peripheral oxytocin concentrations and reduction in cognitive empathy during 4-fluoroamphetamine intoxication.,Analiese Lahey,10.1002/hup.2680,NTR6164,"",1,12,"",healthy volunteers,"",Other: 4‐Fluoroamphetamine ,"","placebo (niacin, mannitol, sugar pill, etc.)","","","","","","","","","","","","","","","","",""
29156,Addy 2012,Acute and post-acute behavioral and psychological effects of salvinorin A in humans.,Parker Singleton,10.1007/s00213-011-2470-6,"","",1,32,30,healthy volunteers,"",salvinorin A,"",low-dose intervention drug,"",Acute,"","","vitals (HR, HRV, BP, respiratory rate, temperature, etc.)","","","","","","","","","","","",""
29156,Addy 2012,Acute and post-acute behavioral and psychological effects of salvinorin A in humans.,Madison Baltazar,10.1007/s00213-011-2470-6,"","",Unregistered,30,30,healthy volunteers,"",salvinorin A,"",low-dose intervention drug,"",Acute,"","","vitals (HR, HRV, BP, respiratory rate, temperature, etc.)","",substance use,"","",HPPD/perceptual persistence,"","","","",qualitative (describe),interview about perceived experiences and effects ,""
29148,Addy 2015,"The subjective experience of acute, experimentally-induced Salvia divinorum inebriation.",Analiese Lahey, 10.1177/0269881115570081,"",10.1007/s00213-011-2470-6 ,Unregistered,"",30,healthy volunteers,"",salvinorin A,"","placebo (niacin, mannitol, sugar pill, etc.)","",Acute,"","","","","","","",abuse potential,"","","","",qualitative (describe),qualities of experience + perceptual alterations +cognitive-affective shifts,""
29099,Gamma 2000,"3,4-Methylenedioxymethamphetamine (MDMA) modulates cortical and limbic brain activity as measured by [H(2)(15)O]-PET in healthy humans.",Analiese Lahey,10.1016/S0893-133X(00)00130-5,"","",1,16,"",psychedelic-naïve healthy volunteers,"",MDMA,"","placebo (niacin, mannitol, sugar pill, etc.)","","","","","","","","","","","","","","","","",""
29099,Gamma 2000,"3,4-Methylenedioxymethamphetamine (MDMA) modulates cortical and limbic brain activity as measured by [H(2)(15)O]-PET in healthy humans.",Parker Singleton,10.1016/S0893-133X(00)00130-5,"","",Unregistered,16,"",psychedelic-naïve healthy volunteers,"",MDMA,"","placebo (niacin, mannitol, sugar pill, etc.)",attention/processing speed; executive function,Acute,"",PET/SPECT,"vitals (HR, HRV, BP, respiratory rate, temperature, etc.)","",general mood/affect,quality of life/well-being,"","adverse events (structured, detailed reporting)","","","","","","",""
